"","station_nm","agency_cd","site_no","dec_lat_va","dec_lon_va","hucCd","OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"142","WHEL-10","21AWIC","21AWIC-133",34.837454,-87.371474,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-133","WHEL-10","River/Stream","Deepest point, main creek channel, Second Creek embayment, approximately 0.5 mile downstream of Hwy 72 bridge.","06030002",NA,NA,NA,NA,34.837454,-87.371474,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"143","BGCD-1","21AWIC","21AWIC-1338",31.422145,-85.530709,"03140201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1338","BGCD-1","River/Stream","Big Ck @ Co. Rd. 59","03140201",NA,NA,NA,NA,31.422145,-85.530709,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","045",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"144","WILL-2","21AWIC","21AWIC-134",34.822729,-87.408882,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-134","WILL-2","River/Stream","Deepest point, main creek channel, Bluewater Creek embayment, approximately one mile upstream of lake confluence.","06030005",NA,NA,NA,NA,34.822729,-87.408882,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"145","WILL-4","21AWIC","21AWIC-135",34.851827,-87.569318,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-135","WILL-4","River/Stream","Deepest point, main creek channel, Shoal Creek embayment, immediately upstream of US Hwy 72 bridge.","06030005",NA,NA,NA,NA,34.851827,-87.569318,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"146","PICL-1","21AWIC","21AWIC-136",34.788142,-87.69709,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-136","PICL-1","River/Stream","Deepest point, main creek channel, Cypress Creek embayment, approximately 0.5 mile upstream of AL Hwy 20.","06030005",NA,NA,NA,NA,34.788142,-87.69709,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","077",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"147","WHEL-9","21AWIC","21AWIC-137",34.72263,-87.280487,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-137","WHEL-9","River/Stream","Deepest point, main creek channel, Spring Creek embayment, approximately 0.5 mile upstream of Co Rd 400 bridge.","06030002",NA,NA,NA,NA,34.72263,-87.280487,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","079",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"148","BRSW-2","21AWIC","21AWIC-1373",34.253,-87.247,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1373","BRSW-2","River/Stream","Brushy Ck at Winston CR 3159 nr mouth of Capsey Ck","03160110",NA,NA,NA,NA,34.253,-87.247,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"149","BSCB-1","21AWIC","21AWIC-1378",31.942598,-85.637553,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1378","BSCB-1","River/Stream","Big Sandy Ck @ Co. Rd. 8","03140202",NA,NA,NA,NA,31.942598,-85.637553,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","011",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"150","WILL-1","21AWIC","21AWIC-138",34.77935,-87.39315,"06030005","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-138","WILL-1","River/Stream","Deepest point, main creek channel, Big Nance Creek embayment, immediately upstream of AL Hwy 101 bridge.","06030005",NA,NA,NA,NA,34.77935,-87.39315,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","079",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"151","BVRM-79","21AWIC","21AWIC-1381",33.995928,-87.929575,"03160103","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1381","BVRM-79","River/Stream","@ US Hwy 43 crossing.","03160103",NA,NA,NA,NA,33.995928,-87.929575,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","093",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"152","BWC-1","21AWIC","21AWIC-1382",34.43885,-85.76695,"03150106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1382","BWC-1","River/Stream","Big Wills Creek @ AL HWY 35","03150106",NA,NA,NA,NA,34.43885,-85.76695,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","049",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"153","BZDC-1","21AWIC","21AWIC-1392",34.69831,-87.98914,"06030006","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1392","BZDC-1","River/Stream","@ Colbert Co. Rd. 21.","06030006",NA,NA,NA,NA,34.69831,-87.98914,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","033",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"154","HARL-3","21AWIC","21AWIC-140",32.72072,-85.12866,"03130002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-140","HARL-3","River/Stream","Deepest point, main channel, Osanippa Creek embayment.","03130002",NA,NA,NA,NA,32.72072,-85.12866,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","081",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"155","HARL-2","21AWIC","21AWIC-141",32.688775,-85.126794,"03130002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-141","HARL-2","River/Stream","Deepest point, main creek channel, Halawakee Creek embayment.","03130002",NA,NA,NA,NA,32.688775,-85.126794,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","081",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"156","CHLD-2","21AWIC","21AWIC-1411",32.442,-87.08343,"03150202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1411","CHLD-2","River/Stream","Childers Ck @ AL Hwy 219","03150202",NA,NA,NA,NA,32.442,-87.08343,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","047",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"157","WHEL-5","21AWIC","21AWIC-142",34.593333,-86.890278,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-142","WHEL-5","River/Stream","Limestone Creek embayment beginning approximately 1 mile upstream of confluence with Tennessee River.","06030002",NA,NA,NA,NA,34.593333,-86.890278,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","083",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"158","CLER-1","21AWIC","21AWIC-1422",34.719347,-86.31083,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1422","CLER-1","River/Stream","Clear Cr at Al Hwy 65","06030002",NA,NA,NA,NA,34.719347,-86.31083,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","071",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"159","WHEL-8","21AWIC","21AWIC-143",34.698636,-87.050739,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-143","WHEL-8","River/Stream","Deepest point, main creek channel, Round Island Creek embayment, approximately 1.5 miles upstream of lake confluence.","06030002",NA,NA,NA,NA,34.698636,-87.050739,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","083",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"160","COCJ-1","21AWIC","21AWIC-1431",34.87425,-85.91075,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1431","COCJ-1","River/Stream","@ Jackson Co. Rd. 53.","06030001",NA,NA,NA,NA,34.87425,-85.91075,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","071",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"161","COTH-57A","21AWIC","21AWIC-1434",32.480488,-87.594992,"03160113","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1434","COTH-57A","River/Stream","@ Ala. Hwy 25 Marengo co","03160113",NA,NA,NA,NA,32.480488,-87.594992,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","091",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"162","COTH-57C","21AWIC","21AWIC-1435",32.50946,-87.64409,"03160113","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1435","COTH-57C","River/Stream","@ Hale Co. Rd. 12","03160113",NA,NA,NA,NA,32.50946,-87.64409,NA,NA,NA,"Interpolation-Digital Map Source (Tiger)","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","065",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"163","CPSY-1","21AWIC","21AWIC-1439",34.26957,-87.21056,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1439","CPSY-1","River/Stream","@ unnamed Winston CR (FS 266) nr Inmanfield","03160110",NA,NA,NA,NA,34.26957,-87.21056,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"164","WDFA-5","21AWIC","21AWIC-144",32.340166,-86.499168,"03150201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-144","WDFA-5","River/Stream","Deepest point, main creek channel, Pintlalla Creek embayment, approx. 0.5 miles upstream of lake confluence.","03150201",NA,NA,NA,NA,32.340166,-86.499168,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","085",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"165","CRIT-32A","21AWIC","21AWIC-1443",33.49246,-87.56229,"03160112","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1443","CRIT-32A","River/Stream","@Tuscaloosa County 38","03160112",NA,NA,NA,NA,33.49246,-87.56229,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","125",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"166","DBCC-2","21AWIC","21AWIC-1457",31.213533,-85.957804,"03140201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1457","DBCC-2","River/Stream","Double Bridges Ck @ Coffee Co Rd 655 intersect","03140201",NA,NA,NA,NA,31.213533,-85.957804,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","031",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"167","WDFA-7","21AWIC","21AWIC-146",32.351177,-86.673437,"03150201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-146","WDFA-7","River/Stream","Deepest point, main creek channel, Cypress Creek embayment, approx. 0.5 miles upstream of lake confluence.","03150201",NA,NA,NA,NA,32.351177,-86.673437,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","085",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"168","WHEL-1","21AWIC","21AWIC-147",34.483246,-86.455077,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-147","WHEL-1","River/Stream","Deepest point, main river channel, Paint Rock River, approximately 1 mile upstream of confluence with Tennessee River.","06030002",NA,NA,NA,NA,34.483246,-86.455077,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"169","EMIC-73","21AWIC","21AWIC-1473",34.261483,-86.789572,"03160109","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1473","EMIC-73","River/Stream","@ Cullman CR 1427","03160109",NA,NA,NA,NA,34.261483,-86.789572,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","043",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"170","ESTL-1","21AWIC","21AWIC-1474",34.965291,-86.153702,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1474","ESTL-1","River/Stream","Estill Fk at Jackson CR 140","06030002",NA,NA,NA,NA,34.965291,-86.153702,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","071",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"171","WHEL-2","21AWIC","21AWIC-148",34.51073,-86.514106,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-148","WHEL-2","River/Stream","Deepest point, main river channel, Flint River, approximately 1 mile upstream of confluence with Tennessee River.","06030002",NA,NA,NA,NA,34.51073,-86.514106,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"172","WHEL-3","21AWIC","21AWIC-149",34.58431,-86.72915,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-149","WHEL-3","River/Stream","Deepest point, main creek channel, Indian Creek embayment, 1 mile upstream of lake confluence.","06030002",NA,NA,NA,NA,34.58431,-86.72915,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","089",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"173","HALC-1","21AWIC","21AWIC-1494",31.519482,-85.875871,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1494","HALC-1","River/Stream","Halls Ck @ Coffee Co Rd 114 and 138 intersect","03140202",NA,NA,NA,NA,31.519482,-85.875871,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","031",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"174","COFC-5","21AWIC","21AWIC-150",32.293698,-87.925428,"03160201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-150","COFC-5","River/Stream","Deepest point, main creek channel, Chickasaw Bogue Creek embayment, approx. 0.5 miles upstream of confluence with Tombigbee River.","03160201",NA,NA,NA,NA,32.293698,-87.925428,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","091",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"175","COFC-7","21AWIC","21AWIC-151",32.076076,-88.05283,"03160201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-151","COFC-7","River/Stream","Deepest point, main creek channel, Horse Creek embayment, approx. 0.5 miles upstream of confluence with Tombigbee River.","03160201",NA,NA,NA,NA,32.076076,-88.05283,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","091",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"176","HURR-1","21AWIC","21AWIC-1511",34.91799,-86.133,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1511","HURR-1","River/Stream","Hurricane Ck just off Jackson CR 9","06030002",NA,NA,NA,NA,34.91799,-86.133,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","071",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"177","JHCB-1","21AWIC","21AWIC-1514",32.02099,-85.55812,"03140202","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1514","JHCB-1","River/Stream","Johnson Ck @ Co. Rd. 14","03140202",NA,NA,NA,NA,32.02099,-85.55812,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","011",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"178","JNCC-1","21AWIC","21AWIC-1515",31.349138,-87.027533,"03140304","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1515","JNCC-1","River/Stream","Jordan Ck @ St. HWY 31","03140304",NA,NA,NA,NA,31.349138,-87.027533,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","035",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"179","GUNM-9","21AWIC","21AWIC-152",34.3452,-86.29182,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-152","GUNM-9","River/Stream","Deepest point, main creek channel, Big Spring Creek embayment, immediately upstream of AL Hwy 227 bridge.","06030001",NA,NA,NA,NA,34.3452,-86.29182,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","095",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"180","KNSR-9","21AWIC","21AWIC-1521",33.47123,-85.377146,"03150108","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1521","KNSR-9","River/Stream","At Randolph Co Rd 37 of off Co Rd 92","03150108",NA,NA,NA,NA,33.47123,-85.377146,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","111",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"181","LBRF-1","21AWIC","21AWIC-1526",34.38555,-87.63891,"06030006","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1526","LBRF-1","River/Stream","@ AL Hwy 243.","06030006",NA,NA,NA,NA,34.38555,-87.63891,24000,NA,NA,"Interpolation-Map","NAD83",NA,NA,NA,NA,NA,NA,"US","01","059",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"182","GUNM-10","21AWIC","21AWIC-153",34.34464,-86.33057,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-153","GUNM-10","River/Stream","Deepest point, main creek channel, Brown's Creek embayment, approximately 1 mile upstream of Hwy. 69 bridge; GUN8-Brown's Creek Embayment","06030001",NA,NA,NA,NA,34.34464,-86.33057,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","095",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"183","LCLW-19","21AWIC","21AWIC-1531",34.129192,-87.509005,"03160110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1531","LCLW-19","River/Stream","Little Clear Ck @ unnamed dirt road( Co. Rd. 369) s of US Hwy 278","03160110",NA,NA,NA,NA,34.129192,-87.509005,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","133",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"184","GUNM-7","21AWIC","21AWIC-154",34.405817,-86.183175,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-154","GUNM-7","River/Stream","Deepest point, main creek channel, Town Creek embayment, approximately 0.5 miles downstream of Hwy. 227 bridge.","06030001",NA,NA,NA,NA,34.405817,-86.183175,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","095",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"185","LICK-1","21AWIC","21AWIC-1540",34.852416,-86.243766,"06030002","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1540","LICK-1","River/Stream","Lick Fk at Jackson CR 3","06030002",NA,NA,NA,NA,34.852416,-86.243766,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","071",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"186","LNDB-1","21AWIC","21AWIC-1545",31.720055,-85.485315,"03140201","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1545","LNDB-1","River/Stream","Lindsey Ck @ Barbour Co Rd 41 intersect","03140201",NA,NA,NA,NA,31.720055,-85.485315,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","005",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"187","GUNM-8","21AWIC","21AWIC-155",34.364539,-86.216931,"06030001","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-155","GUNM-8","River/Stream","Deepest point, main creek channel, Short Creek embayment, immediately upstream of AL Hwy 227 bridge.","06030001",NA,NA,NA,NA,34.364539,-86.216931,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","095",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"188","MAJB-1","21AWIC","21AWIC-1573",31.128918,-87.818026,"03150204","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1573","MAJB-1","River/Stream","@ AL Hwy 59","03150204",NA,NA,NA,NA,31.128918,-87.818026,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US","01","003",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"189","MBFB-4","21AWIC","21AWIC-1575",33.996667,-86.749639,"03160109","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1575","MBFB-4","River/Stream","Mulberry Fork @ Garden City River Park off Old US Hwy 31, upstream of Garden City WWTP Outfall","03160109",NA,NA,NA,NA,33.996667,-86.749639,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","009",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"190","BCLM-4","21AWIC","21AWIC-159",30.765048,-88.32861,"03170008","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-159","BCLM-4","River/Stream","Deepest point, main creek channel, Crooked Creek embayment, approx. one mile downstream of US Hwy. 98.","03170008",NA,NA,NA,NA,30.765048,-88.32861,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","097",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"191","MMLT-1A","21AWIC","21AWIC-1594",32.58605,-85.44951,"03150110","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1594","MMLT-1A","River/Stream","Moores Mill Ck at Lee Co. Rd. 146 (Moores Mill Rd)","03150110",NA,NA,NA,NA,32.58605,-85.44951,24000,NA,NA,"Interpolation-Map","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","081",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"192","MUDD-17","21AWIC","21AWIC-1599",32.404781,-87.360789,"03150203","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1599","MUDD-17","River/Stream","At Alabama Hwy 5 in Dallas Co","03150203",NA,NA,NA,NA,32.404781,-87.360789,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","047",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"193","BCLM-5","21AWIC","21AWIC-160",30.722719,-88.311215,"03170008","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-160","BCLM-5","River/Stream","Deepest point, main creek channel, Hamilton Creek embayment, approx. one mile upstream of confluence with Big Creek.","03170008",NA,NA,NA,NA,30.722719,-88.311215,NA,NA,NA,"Unknown","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","097",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
"194","NGOB-1","21AWIC","21AWIC-1606",30.500583,-87.581683,"03140106","21AWIC","ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA","21AWIC-1606","NGOB-1","River/Stream","Negro Ck @Baldwin Co Rd 87 intersect","03140106",NA,NA,NA,NA,30.500583,-87.581683,NA,NA,NA,"GPS-Unspecified","UNKWN",NA,NA,NA,NA,NA,NA,"US","01","003",NA,NA,NA,NA,NA,NA,NA,NA,"STORET"
